spkt,spkid
-3.215799999999998,2467
-3.2157333333333327,2791
-3.2157333333333185,3195
-3.2156999999999982,2846
-3.2156666666666665,2782
-3.215666666666664,2840
-3.2156000000000002,5096
-3.2155999999999985,3369
-3.215599999999995,1127
-3.2155666666666676,2469
-3.2155666666666622,4220
-3.215533333333333,4863
-3.215466666666668,4666
-3.2154666666666643,4247
-3.2154333333333334,3974
-3.2154,3872
-3.215399999999999,2407
-3.215366666666661,2024
-3.2152666666665937,371
-3.215233333333334,2689
-3.215233333333334,4681
-3.2152333333333303,3332
-3.215166666666665,3370
-3.2151666666666614,4241
-3.2151333333333323,5361
-3.215133333333327,2000
-3.2150999999999996,2807
-3.2150999999999996,3189
-3.2150999999999996,4020
-3.2150999999999925,2097
-3.215066666666658,2176
-3.2150333333333236,2570
-3.2150333333333236,4167
-3.214966666666662,4567
-3.2149333333333328,5479
-3.2149,4476
-3.2148666666666514,4041
-3.214833333333331,3429
-3.214833333333331,5404
-3.2148,1856
-3.2147666666666623,1993
-3.2147666666666623,2840
-3.214766666666634,274
-3.2147333333333323,2780
-3.2146333333333317,5161
-3.214533333333332,5389
-3.2144999999999992,3081
-3.2144999999999975,1938
-3.214499999999994,2731
-3.2144666666666666,1339
-3.214433333333333,2798
-3.214433333333332,1221
-3.214433333333332,1286
-3.2143999999999977,3405
-3.214366666666667,5384
-3.2143666666666633,3146
-3.2143333333333146,2169
-3.214266666666667,2676
-3.214266666666666,2369
-3.214266666666666,2790
-3.2142000000000053,2567
-3.214199999999998,4518
-3.214166666666685,3566
-3.2141666666666655,3073
-3.214100000000002,5423
-3.2140999999999993,3083
-3.2140999999999167,1519
-3.2140666666666675,2510
-3.214066666666639,1026
-3.214033333333333,1848
-3.2139999999999986,497
-3.2139999999999986,2004
-3.213966666666664,750
-3.213966666666664,2003
-3.2139000000000006,5360
-3.2138999999999953,3147
-3.213866666666668,4022
-3.213866666666668,4676
-3.2138333333333335,493
-3.213833333333333,2623
-3.2138333333333264,798
-3.213800000000006,3948
-3.213799999999999,5133
-3.2137666666666647,2289
-3.213700000000003,2107
-3.2136999999999993,3353
-3.2136666666666684,168
-3.21363333333332,3574
-3.2135999999999996,496
-3.213566666666665,3985
-3.213566666666665,4244
-3.2135666666665657,1550
-3.2135,2802
-3.213466666666662,125
-3.213466666666662,4560
-3.2134333333333345,5434
-3.2134333333333327,3098
-3.2134,3398
-3.2134,3655
-3.213399999999993,2845
-3.2133666666666665,2636
-3.2133666666666656,4509
-3.2133666666666585,2551
-3.213333333333333,2356
-3.213333333333333,4476
-3.213233333333333,2629
-3.2132000000000076,2072
-3.2132000000000005,2468
-3.2131999999999987,3325
-3.213166666666666,3541
-3.2131333333333316,4242
-3.2130666666666663,2623
-3.213033333333332,4865
-3.213000000000001,1272
-3.2129666666666648,5481
-3.2129333333333356,1895
-3.212933333333332,3826
-3.2128999999999994,4213
-3.2128999999999976,1992
-3.2128999999999976,2660
-3.2128666666666668,4531
-3.212866666666663,3427
-3.2128333333333323,2666
-3.2128333333333323,5406
-3.2128,85
-3.212766666666667,5499
-3.2126666666666654,5482
-3.212633333333333,3071
-3.212633333333333,5372
-3.2126333333333292,1985
-3.212600000000009,790
-3.212533333333333,2806
-3.2124333333333297,4019
-3.2123999999999953,1268
-3.2123333333333335,3825
-3.2123333333333264,3438
-3.2122666666666504,4035
-3.2121999999999957,2221
