spkt,spkid
-3.2121999999999957,4264
-3.2121666666666684,5439
-3.2121666666666666,2350
-3.212133333333327,2712
-3.2120999999999995,2293
-3.2120999999999995,4553
-3.212066666666667,83
-3.212066666666665,3653
-3.2120333333333324,956
-3.2120333333333306,5175
-3.2120333333333235,285
-3.2119333333333344,1241
-3.211933333333331,1921
-3.2119,3421
-3.2118666666666655,3120
-3.2118666666666655,3834
-3.2118,1165
-3.2118,1903
-3.2117666666666675,3351
-3.2117666666666658,5488
-3.2117666666666196,4059
-3.211666666666673,1129
-3.211666666666666,2283
-3.211666666666666,3115
-3.21156666666667,3485
-3.2115666666666662,2390
-3.211533333333332,4687
-3.2114666666666647,3350
-3.2114333333333356,3390
-3.211433333333332,3122
-3.211433333333332,3133
-3.211433333333332,5410
-3.2113999999999976,1912
-3.2113666666666667,5112
-3.211366666666663,2146
-3.2113333333333287,1310
-3.211266666666667,3118
-3.211266666666665,3325
-3.2112333333333325,4885
-3.2111666666666707,494
-3.2111666666666707,2480
-3.2111666666666636,1941
-3.2111333333333327,3095
-3.211133333333329,473
-3.211133333333237,5046
-3.2110666666666674,3938
-3.2109999999999985,1213
-3.2109666666666783,1407
-3.210966666666664,3404
-3.21096666666665,545
-3.210866666666668,3341
-3.2108666666666608,2730
-3.2108333333333334,5399
-3.210800000000006,4893
-3.210733333333323,160
-3.2107000000000028,157
-3.2106666666666612,3159
-3.210633333333334,30
-3.2105999999999995,3521
-3.2105999999999995,4891
-3.210566666666667,3893
-3.210566666666665,5491
-3.2105666666666632,1181
-3.2105333333333306,1901
-3.2104999999999997,1198
-3.210499999999996,776
-3.2104333333333344,5428
-3.210433333333333,1842
-3.210433333333331,5167
-3.210433333333331,5386
-3.2104,2424
-3.210333333333324,1668
-3.2102999999999984,4215
-3.2102999999999966,1246
-3.2102666666666666,104
-3.210233333333335,2091
-3.2102333333333313,681
-3.2102000000000004,1163
-3.2102000000000004,3183
-3.2102000000000004,3857
-3.2102000000000004,4520
-3.2102000000000004,4879
-3.210166666666666,2447
-3.2101000000000006,3660
-3.210099999999997,801
-3.210099999999997,2857
-3.210066666666666,2668
-3.210066666666666,5466
-3.2100333333333317,3340
-3.210033333333328,1277
-3.210000000000001,1293
-3.209933333333332,2718
-3.209900000000001,4864
-3.209833333333332,5374
-3.2098333333333304,4197
-3.2098000000000084,1609
-3.2098000000000013,1208
-3.2098000000000013,3845
-3.209766666666681,4171
-3.209766666666667,4126
-3.2097333333333324,2804
-3.2097333333333324,3154
-3.209666666666692,1474
-3.209666666666635,228
-3.2096333333333327,5393
-3.209600000000023,1029
-3.209600000000002,1611
-3.2095333333332974,1150
-3.2095000000000056,2478
-3.2094333333333296,732
-3.209399999999995,672
-3.209366666666666,1177
-3.209333333333319,4575
-3.209299999999999,2789
-3.209299999999999,3345
-3.209266666666668,2400
-3.209266666666668,3633
-3.209233333333332,3334
-3.209166666666661,2842
-3.2091333333333267,2106
-3.2091333333333125,241
-3.2090666666666863,159
-3.209066666666672,525
-3.209066666666672,5544
-3.209066666666665,2066
-3.209066666666665,4694
-3.2090333333333376,2434
-3.209033333333334,2396
-3.209033333333333,1851
-3.2090333333333305,1961
-3.2090333333333305,1989
-3.2090333333333305,5198
-3.2090333333333305,5394
-3.2090333333333234,3547
-3.209000000000003,803
-3.208999999999996,1995
-3.208966666666665,5147
-3.208966666666665,5157
-3.2089333333333308,2682
-3.2089,4665
-3.2089,5137
-3.208899999999998,5468
-3.2088666666666654,1936
-3.2088,2708
-3.2087999999999965,1279
-3.2087666666666657,5495
-3.2086999999999968,3418
-3.208666666666666,1227
-3.208666666666666,4019
-3.208666666666666,4279
-3.2086333333333314,5163
-3.208599999999997,3176
-3.2085666666666697,2093
-3.2085666666666626,1323
-3.2085333333333335,1887
-3.2084666666666664,2373
-3.2084666666666664,4539
-3.208433333333332,4504
-3.208366666666667,5114
-3.2083666666666666,4674
-3.2083333333333286,4556
-3.2082333333333324,3092
-3.2082333333333324,4678
-3.2081999999999997,1169
-3.208199999999998,477
-3.208199999999998,1218
-3.2081666666666635,2006
-3.2081666666666564,757
-3.2080666666666673,2479
-3.208033333333333,2673
-3.208033333333333,3633
-3.207933333333333,2474
-3.2079333333333295,700
-3.2079333333333295,4729
-3.207899999999995,642
-3.207899999999995,4254
-3.2078333333333333,3655
-3.2078333333333333,3845
-3.2077666666666644,2292
-3.207733333333337,4905
-3.2077333333333327,2792
-3.2077000000000027,3840
-3.2077,5112
-3.2076666666666824,1121
-3.2076666666666824,1468
-3.207666666666668,2402
-3.2076666666666664,2381
-3.2076666666666664,2765
-3.2076333333333267,4538
-3.207633333333206,4625
-3.2075999999999993,5217
-3.207533333333334,2689
-3.2074999999999996,1194
-3.207499999999996,3148
-3.207499999999996,3440
-3.207466666666665,3982
